,true superclass,mex-5488890-c,mex-1717170-c,mex-1111110-c,mex-1117170-c,mex-4484440-c,mex-8717170-c,mex-5888880-c,mex-5588880-c,mex-4444420-c,mex-2220-c,mex-8787170-c,mex-20-c,mex-5788870-c,mex-4424220-c,mex-8888880-c,mex-4848480-c,mex-4222220-c,mex-4484920-c,mex-7777770-c,mex-22220-c,mex-5488840-c,mex-4424240-c,mex-0-c,mex-5558880-c,mex-5788880-c,mex-4884890-c,mex-4894840-c,mex-220-c,mex-4242220-c,mex-420-c,mex-7171710-c,mex-4844940-c,mex-4888480-c,mex-4442420-c,mex-8888870-c,mex-2422220-c,mex-1111710-c,mex-5489480-c,mex-40-c,mex-1111170-c,mex-4444240-c,mex-4484490-c,mex-7177770-c,mex-4484420-c,mex-5488480-c,mex-4848440-c,mex-8488940-c,mex-4888840-c,mex-4448440-c,mex-4884840-c,mex-8887170-c,mex-4848490-c,mex-2222220-c,mex-5889480-c,mex-4422220-c,mex-5488940-c,mex-5717880-c,mex-8788880-c,mex-1171710-c,mex-5888980-c,mex-5548890-c,mex-4484840-c,mex-42220-c,mex-4484940-c,mex-2420-c,mex-4549420-c,mex-5488880-c,mex-7171770-c,mex-5588480-c,mex-8871710-c,mex-4444440-c,mex-5484840-c,mex-8488480-c,mex-4494440-c,mex-4849420-c,mex-8788710-c,mex-4644240-c,mex-4898940-c,mex-8884880-c,mex-4492420-c,mex-4484240-c,mex-4220-c,mex-24220-c,mex-4648490-c,mex-8777770-c,mex-5888890-c,mex-424220-c,mex-8788870-c,mex-5787170-c,mex-8771710-c,mex-8488880-c,mex-5717180-c,mex-5468490-c,mex-5777770-c,mex-8881710-c,mex-5489420-c,mex-5717170-c,mex-4444920-c,mex-5888480-c,mex-5888940-c,mex-1718880-c,mex-4449240-c,mex-4648440-c,mex-4644420-c,mex-4494240-c,mex-5548840-c,mex-5888840-c,mex-8718880-c,mex-44240-c,mex-5778710-c,mex-5588840-c,mex-4844420-c,mex-4240-c,mex-4548440-c,mex-4889480-c,mex-7777710-c,mex-4494420-c,mex-8888840-c,mex-8888710-c,mex-8717770-c,mex-8588880-c,mex-4884880-c,mex-5588890-c,mex-4449440-c,mex-442420-c,mex-4449420-c,mex-5788710-c,mex-7177170-c,mex-4544280-c,mex-4848940-c,mex-5464840-c,mex-4444490-c,mex-5489440-c,mex-8717880-c,mex-4848420-c,mex-8488840-c,mex-4944920-c,mex-8884890-c,mex-4894490-c,mex-7171880-c,mex-4644920-c,mex-4844920-c,mex-5758880-c,mex-5484940-c,mex-8777170-c,mex-4849440-c,mex-5588940-c,mex-5468480-c,mex-7171780-c,mex-5589480-c,mex-7178870-c,mex-4448420-c,mex-7787170-c,mex-4444940-c,mex-7717880-c,mex-5488490-c,mex-5464420-c,mex-5888870-c,mex-422220-c,mex-8787770-c,mex-4888880-c,mex-5718880-c,mex-8777710-c,mex-8718710-c,mex-8588710-c,mex-4649240-c,mex-8717180-c,mex-4544920-c,mex-1717770-c,mex-7777170-c,mex-42420-c,mex-8171710-c,mex-1777770-c,mex-1777170-c,mex-5489490-c,mex-242220-c,mex-8889480-c,mex-4898480-c,mex-4648420-c,mex-222220-c,mex-8788770-c,mex-4894940-c,mex-5777170-c,mex-8484840-c,mex-4242420-c,mex-4544240-c,mex-1771710-c,mex-2222220-no-c,mex-7974330-no-c,mex-336360-no-c,mex-7574360-no-c,mex-110-no-c,mex-744360-no-c,mex-0-no-c,mex-4222220-no-c,mex-410-no-c,mex-5110-no-c,mex-60-no-c,mex-660-no-c,mex-1110-no-c,mex-80-no-c,mex-55660-no-c,mex-3360-no-c,mex-160-no-c,mex-10-no-c,mex-98410-no-c,mex-5160-no-c,mex-74360-no-c,mex-79360-no-c,mex-93360-no-c,mex-954160-no-c,mex-4444440-no-c,mex-555660-no-c,mex-360-no-c,mex-8222220-no-c,mex-1974330-no-c,mex-943360-no-c,mex-5660-no-c,mex-7574460-no-c,mex-7754660-no-c,mex-5410-no-c,mex-6660-no-c,mex-4574430-no-c,mex-5744630-no-c,mex-460-no-c,mex-7360-no-c,mex-1743360-no-c,mex-11110-no-c,mex-33360-no-c,mex-743360-no-c,mex-4414110-no-c,mex-1983360-no-c,mex-91410-no-c,mex-7744360-no-c,mex-57460-no-c,mex-7575660-no-c,mex-7797430-no-c,mex-70-no-c,mex-574360-no-c,mex-4360-no-c,mex-33310-no-c,mex-574410-no-c,mex-983360-no-c,mex-36360-no-c,mex-554160-no-c,mex-7974360-no-c,mex-73360-no-c,mex-436360-no-c,mex-2222820-no-c,mex-9574430-no-c,mex-1982220-no-c,mex-1974360-no-c,mex-5574410-no-c,mex-9983360-no-c,mex-1797430-no-c,mex-9744360-no-c,mex-9160-no-c,mex-774360-no-c,mex-980-no-c,mex-3337970-no-c,mex-1117440-no-c,mex-9744440-no-c,mex-8422220-no-c,mex-54160-no-c,mex-43360-no-c,mex-9822220-no-c,mex-30-no-c,mex-4110-no-c,mex-55160-no-c,mex-3379740-no-c,mex-7757430-no-c,mex-575460-no-c,mex-9743360-no-c,mex-1222220-no-c,mex-554660-no-c,mex-6360-no-c,mex-4410-no-c,mex-5744360-no-c,mex-5556660-no-c,mex-81110-no-c,mex-1228220-no-c,mex-5457440-no-c,mex-95410-no-c,mex-974360-no-c,mex-984360-no-c,mex-1910-no-c,mex-180-no-c,mex-7744330-no-c,mex-730-no-c,mex-111110-no-c,mex-7554660-no-c,mex-5754660-no-c,mex-754660-no-c,mex-2822220-no-c,mex-7443360-no-c,mex-7743360-no-c,mex-9444410-no-c,mex-174410-no-c,mex-44410-no-c,mex-7574430-no-c,mex-9660-no-c,mex-1410-no-c,mex-333360-no-c,mex-8110-no-c,mex-7446360-no-c,mex-94410-no-c,mex-57410-no-c,mex-8360-no-c,mex-4444180-no-c,mex-3310-no-c,mex-4574440-no-c,mex-7757440-no-c,mex-7444440-no-c,mex-1111110-no-c,mex-17430-no-c,mex-1744360-no-c,mex-9410-no-c,mex-7460-no-c,mex-757460-no-c,mex-11910-no-c,mex-740-no-c,mex-5745740-no-c,mex-993360-no-c,mex-9910-no-c,mex-98360-no-c,mex-9444440-no-c,mex-75460-no-c,mex-973360-no-c,mex-357460-no-c,mex-556660-no-c,mex-8922220-no-c,mex-65660-no-c,mex-55410-no-c,mex-5744410-no-c,mex-1574410-no-c,mex-198410-no-c,mex-174360-no-c,mex-5744430-no-c,mex-9360-no-c,mex-4160-no-c,mex-744410-no-c,mex-8797430-no-c,mex-85660-no-c,mex-480-no-c,mex-3222220-no-c,mex-19410-no-c,mex-998410-no-c,mex-330-no-c,mex-5554160-no-c,mex-5541410-no-c,mex-910-no-c,mex-54410-no-c,mex-510-no-c,mex-75660-no-c,mex-443360-no-c,mex-7357460-no-c,mex-7443630-no-c,mex-9933360-no-c,mex-7410-no-c,mex-875660-no-c,mex-9443360-no-c,mex-7444360-no-c,mex-46360-no-c,mex-99360-no-c,mex-9110-no-c,mex-58360-no-c,mex-40-no-c,mex-8410-no-c,mex-56660-no-c,mex-773360-no-c,mex-9982220-no-c,mex-7457440-no-c,mex-4357440-no-c,mex-1984330-no-c,mex-21110-no-c,mex-811110-no-c,mex-170-no-c,mex-756660-no-c,mex-54110-no-c,mex-755660-no-c,mex-5575660-no-c,mex-994360-no-c,mex-44360-no-c,mex-9744430-no-c,mex-94360-no-c,mex-3322220-no-c,mex-7444630-no-c,mex-63360-no-c,mex-4574460-no-c,mex-9793360-no-c,mex-2222280-no-c,mex-5574430-no-c,mex-7430-no-c,mex-5546360-no-c,mex-3333790-no-c,mex-9757430-no-c,pps-symbol-0-c,pps-symbol-1-c,pps-symbol-2-c,pps-symbol-3-c,pps-symbol-4-c,pps-symbol-5-c,pps-symbol-6-c,pps-symbol-7-c,pps-symbol-8-c,pps-symbol-9-c,pps-symbol-0-no-c,pps-symbol-1-no-c,pps-symbol-2-no-c,pps-symbol-3-no-c,pps-symbol-4-no-c,pps-symbol-5-no-c,pps-symbol-6-no-c,pps-symbol-7-no-c,pps-symbol-8-no-c,pps-symbol-9-no-c
tv,electronic,1,3,0,0,0,3,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,0,2,1,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,24,21,0,29,12,0,31,70,5,32,49,14,11,7,2,11,5,1,3
book,indoor,0,7,0,0,0,3,9,0,1,0,0,1,0,8,8,1,0,0,0,0,1,1,7,0,0,0,3,0,4,1,4,1,0,2,0,1,1,0,0,0,3,0,0,1,1,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,1,0,0,1,0,10,1,2,0,12,19,2,0,2,2,0,3,0,1,3,1,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,46,69,0,132,16,0,48,153,9,89,15,57,36,20,5,75,19,2,6
teddy bear,indoor,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,2,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,8,0,25,2,0,37,9,2,19,9,22,10,4,2,10,5,2,3
person,person,6,186,25,18,6,34,74,7,12,5,0,9,0,34,62,5,17,0,4,1,8,8,59,0,4,6,5,7,27,2,31,2,5,30,3,0,15,3,2,14,20,1,2,3,3,12,2,2,1,5,3,16,8,2,0,7,0,0,28,2,1,5,2,1,0,0,1,7,1,3,4,2,0,1,1,2,1,0,0,1,0,5,1,0,0,4,2,0,0,0,1,2,0,1,1,0,1,1,0,4,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,4,0,1,1,0,1,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,114,0,0,16,117,20,44,19,21,0,78,110,30,13,15,7,4,43,5,8,21,3,3,0,2,7,8,20,1,1,7,9,1,13,3,1,6,2,2,0,4,9,0,0,3,0,0,4,1,1,12,5,11,0,3,2,0,3,3,4,0,1,0,3,0,0,0,0,1,1,1,1,1,0,0,0,2,6,0,0,8,1,2,0,0,1,0,0,2,4,4,4,0,1,2,1,1,0,1,1,0,2,1,0,2,2,0,0,0,0,1,1,1,0,1,1,0,3,0,1,0,1,0,1,0,3,2,0,0,1,1,3,1,1,0,1,0,0,0,3,1,1,1,1,0,0,2,1,1,2,0,2,1,1,1,0,1,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,953,1257,548,0,939,155,3,1015,1224,83,953,520,911,222,341,185,601,207,56,47
boat,vehicle,1,6,0,0,1,0,2,0,0,0,0,1,0,2,4,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,4,1,2,2,0,0,1,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,33,0,77,4,0,26,56,4,43,14,98,6,7,4,28,8,2,1
mouse,electronic,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,34,0,29,5,0,0,26,3,18,6,20,8,7,0,14,2,1,0
car,vehicle,2,17,0,0,2,6,16,1,2,4,0,4,0,9,23,2,7,0,1,0,0,0,20,0,0,0,0,7,11,4,2,0,0,5,0,2,0,0,2,0,7,1,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,25,0,6,1,2,2,14,49,6,0,0,1,0,3,0,4,4,0,0,0,0,2,1,3,0,0,2,2,0,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,71,183,0,210,25,0,85,312,11,184,98,176,22,50,34,155,26,4,4
chair,furniture,0,16,1,1,0,2,12,1,1,0,1,1,0,6,10,1,3,0,2,0,1,1,6,0,0,2,2,0,5,0,12,0,1,7,0,3,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,13,0,13,1,5,0,11,10,9,1,1,7,1,7,0,0,5,0,0,0,0,2,3,2,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134,114,111,0,150,27,2,136,202,21,134,78,117,47,36,17,73,27,3,6
traffic light,outdoor,0,1,0,0,0,0,2,0,2,0,0,1,0,6,4,2,5,0,0,0,0,0,8,0,0,0,0,1,5,1,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,7,0,0,0,5,16,2,0,1,1,0,1,1,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,3,99,0,115,4,0,3,59,3,59,12,75,6,8,8,51,6,5,1
baseball bat,sports,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,15,4,0,18,2,0,14,29,2,14,4,16,5,6,6,8,3,2,0
